"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0000132","192.8100706","32.42851414","191035815.3"
"a0000391","67.70928446","-44.67477755","304701218.4"
"a0000433","207.7838047","64.87387137","59806356.27"
"a0000434","94.32960502","-14.13413459","406886890.1"
"a0000475","103.2916867","-47.0105717","339581341.3"
"a0000512","89.08000691","-53.37453796","319055972.0"
"a0000699","84.30397256","-30.84377536","340383481.6"
"a0000719","90.90462778","-35.79354251","286108374.3"
"a0000887","284.6674758","-17.27900843","14986196.48"
"a0000985","82.12228536","-44.87636797","334514001.5"
"a0001009","2.358710204","-64.82454774","157045845.0"
"a0001011","252.1247761","53.22638766","112678944.7"
"a0001019","101.3685572","4.449830942","402870537.4"
"a0001025","201.4316896","57.90575576","222845849.3"
"a0001036","77.02000401","-33.83059427","274236517.8"
"a0001065","98.24689887","-32.88751389","371976863.6"
"a0001103","75.18502438","-35.50106839","353121848.4"
"a0001131","88.85531035","-46.65776919","326905410.4"
"a0001134","97.61529464","-41.5681886","317975489.5"
"a0001139","345.103828","-68.01032813","150727616.3"
"a0001170","7.022103373","-35.84990251","180761522.5"
"a0001198","87.6641312","-41.02569772","321380088.1"
"a0001204","99.78805093","-31.19497336","365977276.5"
"a0001221","128.3263147","32.54126424","227298633.7"
"a0001235","10.67432587","-40.79126975","188251568.5"
"a0001293","88.89215912","-36.7977916","349544963.3"
"a0001310","349.900734","-4.695480727","119530700.4"
"a0001316","39.07009109","-51.28056928","251172384.7"
"a0001355","141.3099209","31.80761529","332683112.4"
"a0001374","71.66773349","-50.32541681","303910736.8"
"a0001453","130.7662009","-3.405423494","408518563.8"
"a0001468","92.01225694","-34.97280904","353746031.5"
"a0001474","30.71477147","-33.96899916","185520404.4"
"a0001508","352.4242467","34.77841513","133857122.8"
"a0001509","161.2950608","30.33333257","303941788.7"
"a0001565","50.57993372","-43.60527345","262976535.6"
"a0001566","109.9116588","-5.507342594","120927471.1"
"a0001580","114.2898558","19.8665635","279763872.8"
"a0001593","104.9311485","-22.1746649","379533699.0"
"a0001600","320.4657126","34.0576532","133159847.9"
"a0001620","122.1463577","-0.710185579","260923138.3"
"a0001627","105.5354373","-17.76671597","311313575.8"
"a0001640","86.71070192","-45.76318801","312524191.9"
"a0001656","242.8854281","-10.99419248","126595889.5"
"a0001685","74.00849051","-45.44912195","136807724.7"
"a0001727","269.9418812","-34.05171878","125370373.6"
"a0001747","123.6671659","6.449322796","359419143.6"
"a0001750","45.49558857","-45.29728724","256735098.5"
"a0001862","106.1753576","-24.28767593","230449651.3"
"a0001863","124.7634145","-1.645135767","268276735.7"
"a0001864","107.122031","-27.83163118","209449277.9"
"a0001865","130.4905909","17.64801337","152092884.7"
"a0001866","121.29621","-46.658405","209725434.1"
"a0001876","165.3390502","34.07311127","300616157.5"
"a0001915","159.8889342","48.4341842","129075871.8"
"a0001916","104.6579561","-28.00250725","319442991.5"
"a0001917","81.63824917","-56.19547567","199661448.9"
"a0001919","333.3160807","14.19599974","133364484.7"
"a0001920","73.12588676","-73.96765078","274382612.4"
"a0001943","126.1155578","16.70794534","267859493.4"
"a0001951","99.93003045","-1.187093535","334922163.2"
"a0001980","71.08946205","-33.66913283","232999567.4"
"a0001981","127.6857079","-10.56640356","223927730.7"
"a0002001","142.5279531","25.49929954","338713515.9"
"a0002035","118.3208907","-7.987984651","389924772.8"
"a0002044","335.410143","22.13995896","104956570.7"
"a0002047","105.5279698","-53.79496119","364487338.0"
"a0002048","102.2671964","7.471633789","414755407.8"
"a0002049","76.69074053","-37.03860333","359198021.9"
"a0002055","140.1252979","16.56286005","333618896.2"
"a0002059","59.73281423","-62.24733694","195188099.1"
"a0002061","84.43574042","-45.40350751","230907273.1"
"a0002063","81.26957317","-27.05426675","55573072.7"
"a0002064","104.5683853","-21.2251633","359091666.0"
"a0002074","341.5273185","-76.16745875","200387202.3"
"a0002077","339.0661637","-68.33209353","183206190.4"
"a0002078","44.98805475","-43.37970782","235951237.9"
"a0002083","238.1110849","31.49375322","150424060.4"
"a0002099","55.88365807","-51.61923406","249170528.0"
"a0002101","96.93996556","-32.68623469","138944533.4"
"a0002102","69.73081274","31.0738015","137477839.3"
"a0002131","77.47366463","-31.26807673","350365718.3"
"a0002135","161.8947637","6.772506691","73077305.92"
"a0002150","273.1414836","-53.33425384","171904844.3"
"a0002201","126.2632198","24.51295592","145308504.1"
"a0002202","75.03021112","-59.80502948","192582567.6"
"a0002204","261.8135083","-45.4614947","118868557.9"
"a0002212","117.4390678","0.258127211","186958706.5"
"a0002253","99.14439941","-30.00423454","374821435.2"
"a0002272","251.2174016","-26.83191336","136786787.0"
"a0002329","97.37863686","-20.40307188","258069021.2"
"a0002335","15.40458089","18.84105417","120869382.3"
"a0002368","95.16589237","-31.81949709","304267845.9"
"a0002423","85.22866651","-41.78899117","329402514.4"
"a0002449","97.2540051","-2.92530511","376359712.0"
"a0002491","263.9410886","44.87608082","137688458.7"
"a0002495","81.26462385","-34.03436086","360230532.7"
"a0002577","242.8144698","-4.666511466","123689473.3"
"a0002608","124.0336531","30.27399079","237608830.7"
"a0002629","127.4445552","-6.404444362","337160917.6"
"a0002735","20.99792388","-41.89180859","234599905.3"
"a0002744","76.15139413","-47.78917674","300304220.1"
"a0002937","79.61519542","-29.5344136","346177201.7"
"a0002968","100.2547473","-22.07045124","381621059.0"
"a0003022","274.0194143","-64.31961337","178243809.6"
"a0003040","212.5761237","-46.24855023","161208022.2"
"a0003043","47.1429474","-51.56095562","278453591.5"
"a0003086","141.7308936","18.42438356","375048419.9"
"a0003101","90.09218467","-60.77014248","343983486.3"
"a0003102","96.63673463","-29.88762095","300512753.3"
"a0003103","103.3359828","-56.08652982","183439787.0"
"a0003122","80.61562217","-39.96169085","230655371.3"
"a0003163","99.31874094","-26.74898111","370661993.3"
"a0003169","298.0891847","62.65243515","148395257.4"
"a0003198","298.2843088","58.88731593","126566536.0"
"a0003199","55.03519986","-36.1241501","195189427.8"
"a0003200","115.0512794","-5.065740499","160144750.6"
"a0003225","84.03029349","-29.24618588","379585429.0"
"a0003255","15.6151448","-36.06195448","174880650.3"
"a0003266","110.1718461","-64.30266216","308785005.5"
"a0003267","288.5733613","-72.21883093","177172490.8"
"a0003270","236.2463938","19.05488993","92312289.89"
"a0003271","95.76677649","-25.32052531","319203204.3"
"a0003287","95.8727149","-20.23953486","383288407.0"
"a0003288","130.0158271","25.8733546","248229874.0"
"a0003309","128.9275695","7.417655728","383573656.2"
"a0003343","124.9617348","-7.734000412","381979076.8"
"a0003352","222.7643053","66.95221281","64592190.28"
"a0003353","105.1523578","-3.582684385","399761027.9"
"a0003360","100.3941083","-13.29234685","234062171.8"
"a0003361","143.3668829","37.46014579","70389425.12"
"a0003392","200.3489044","31.81962333","165920367.5"
"a0003397","335.4018817","58.28304208","136847442.2"
"a0003400","204.6337679","37.77202021","194188112.2"
"a0003401","0.089638236","-23.36853397","138831969.2"
"a0003402","107.9348442","-20.92855995","371672793.8"
"a0003416","114.6851411","-32.24357938","355572258.3"
"a0003443","99.88236056","-14.21663657","390596102.2"
"a0003447","168.3334418","66.2112265","258248856.6"
"a0003483","106.4412659","-63.31042305","310251108.4"
"a0003496","221.0623299","-78.93189781","178664589.7"
"a0003551","85.6839971","-48.37205016","228677910.6"
"a0003552","115.7177596","-28.24079955","317976501.9"
"a0003553","166.7918261","17.63118217","176157123.5"
"a0003581","80.14158252","-22.43917195","358813632.4"
"a0003635","232.7677515","22.77667657","132550647.4"
"a0003671","112.8244546","-12.06873979","297624882.0"
"a0003674","36.84891991","-42.25854769","216240371.0"
"a0003691","136.1322737","15.72416289","289270829.6"
"a0003737","57.92795458","-41.28330295","261225886.3"
