"ID","vx","vy","vz"
"a0000132","-996.156284194396","-11280.2558612101","-2422.52905448753"
"a0000391","5592.31031927275","16702.3951333795","13464.927588669"
"a0000433","-323.525152232915","-4267.56562424507","-802.346925375228"
"a0000434","10990.4300355389","5854.42351700069","26444.4162852054"
"a0000475","6273.58487597212","15220.1978786244","15137.3791220697"
"a0000512","5301.13944201602","17306.2663666777","12783.1016743175"
"a0000699","8109.07239556026","12546.1178222219","19540.2715704675"
"a0000719","6467.1919368374","11140.1100004582","15582.0198252803"
"a0000887","-390.254827806895","401.917664537694","-924.856773144096"
"a0000985","6543.65825168665","16783.5190800703","15777.3442618715"
"a0001009","70.6452146569138","11416.1188099555","174.374206292599"
"a0001011","-1797.25969887113","-6646.61944551295","-4326.92519287214"
"a0001019","11005.6515123402","-4311.22534520781","26466.190239304"
"a0001025","-1220.85459391307","-15779.9228642826","-2924.43922780144"
"a0001036","6190.32984493015","11686.3167433815","14906.0715600687"
"a0001065","8619.98744415145","12335.931481426","20774.1526432045"
"a0001103","7750.84956800116","15850.3475308348","18679.7291509456"
"a0001131","6251.00594498328","16114.4434798298","15070.3437854387"
"a0001134","6563.39790699042","13307.682126411","15841.1979059718"
"a0001139","-413.325995162789","10918.5738416759","-986.793868468892"
"a0001170","485.762134481955","11185.5029984661","1200.43834650994"
"a0001198","6750.96122588655","14461.6553659567","16275.5282255819"
"a0001204","8604.55261786462","11263.1376405204","20729.2315769232"
"a0001221","4199.29380658881","-11523.3719513845","10090.6847512365"
"a0001235","720.274579068661","12189.9118239948","1770.71597726458"
"a0001293","7803.90305605193","14233.6682722008","18804.1741873763"
"a0001310","-589.605215937812","3934.25620735834","-1408.83506028918"
"a0001316","2757.90035799486","16585.1527342487","6643.11282804227"
"a0001355","4932.41718083915","-17959.0152452105","11872.1972707517"
"a0001374","5128.20017349977","17437.7479664821","12373.5988163116"
"a0001453","8626.36030826009","-5809.48225871823","20750.1575895102"
"a0001468","8075.5700587821","13355.166685624","19467.7508031047"
"a0001474","2183.310448983","10660.7938399925","5283.93437728012"
"a0001508","-405.552679030854","-2089.20133503309","-978.544588148471"
"a0001509","2350.14042794722","-17269.0500350265","5636.82301153392"
"a0001565","4097.41021129706","15572.406151082","9880.27021167233"
"a0001566","3177.22221185558","-327.987363681193","7676.30559334661"
"a0001580","6724.26977226213","-9417.78662740706","16101.8628888486"
"a0001593","9480.12196654937","7104.18180490721","22817.1153311806"
"a0001600","-1972.28930434404","-2634.74790611375","-4734.0123619032"
"a0001620","6159.70049234085","-3647.35732457011","14816.368963725"
"a0001627","7966.71521118977","4166.72818762646","19177.7544041743"
"a0001640","6060.91397257661","15407.7791658407","14623.9964865286"
"a0001656","-3101.71780986188","39.8696567185394","-7451.97243650339"
"a0001685","2567.60614798473","7271.50665119107","6205.79986786709"
"a0001727","-2919.54265518478","4718.43278473694","-6998.13521545542"
"a0001747","8295.17989061416","-8240.28715091906","19973.2451082959"
"a0001750","3585.50684481805","15808.1645171204","8650.31573478384"
"a0001862","5604.45578001211","4721.83595798314","13529.9775423737"
"a0001863","6143.28702796306","-3740.65120740004","14773.1605253025"
"a0001864","4900.13132738259","5034.68876263452","11875.5223794174"
"a0001865","3084.27254709727","-5692.360521176","7404.38224600519"
"a0001866","3401.03920140422","8150.76493543854","8252.16139290023"
"a0001876","1762.4597123448","-18063.8061805374","4214.93816054592"
"a0001915","820.001073218485","-8725.95218429582","1978.49511948388"
"a0001916","7599.72472380268","8091.81033679886","18327.8773400645"
"a0001917","3064.63239432887","11590.1473801664","7376.89111003958"
"a0001919","-1628.33023230582","1027.8211989949","-3915.92957112257"
"a0001920","2002.29785001868","18355.5206115304","4862.38679836276"
"a0001943","5785.68236387388","-9388.14170757005","13912.1424986969"
"a0001951","9221.3648921166","-1142.90159992765","22156.0803481936"
"a0001980","5110.8297532381","10427.688512225","12320.111955757"
"a0001981","4846.87564053298","-985.607804955988","11659.5624927803"
"a0002001","5201.73125785458","-16591.4153028368","12484.375272504"
"a0002035","9499.58038069202","-1477.86391775829","22837.4287393388"
"a0002044","-1139.2517821687","-184.99055010033","-2724.39314308668"
"a0002047","5775.22777686275","18178.8731009884","13934.3906314636"
"a0002048","11229.4441925934","-6065.96323965167","27011.5049040199"
"a0002049","7789.21964959493","16400.2116840036","18747.993098015"
"a0002055","5729.70877426459","-13251.383114079","13760.8251459952"
"a0002059","2182.00996864932","12884.0490518436","5269.52042842519"
"a0002061","4488.6878197997","11480.0505500798","10836.9447884773"
"a0002063","1366.97072714908","1904.82314530203","3305.53244446518"
"a0002064","9035.65057633952","6392.62374155254","21766.6514080855"
"a0002074","-429.55213918361","14355.1486018639","-1039.90014403052"
"a0002077","-700.730993319697","13220.5905721363","-1634.61341496181"
"a0002078","3373.28162941479","14282.5049065251","8144.61374916962"
"a0002083","-3045.40699677954","-7181.5791606555","-7345.15638913876"
"a0002099","3571.56227704579","15554.2241272408","8595.68878083628"
"a0002101","3224.0645975797","4607.18562569154","7817.07275191501"
"a0002102","3081.67188773667","-3601.18221246965","7423.70376515223"
"a0002131","8148.60816479936","14052.5564885013","19656.8625545012"
"a0002135","634.921281559038","-2497.34017119966","1526.65240025348"
"a0002150","-2872.83964871216","9431.09727380114","-6912.7071214622"
"a0002201","2994.51153434631","-6204.49168221616","7158.96226079232"
