id,time,min distance
a0000132,0,89581319.3284025
a0000391,96675000,38284677.5218769
a0000433,125020000,42490674.8141655
a0000434,7070000,156967149.222213
a0000475,45000,33871746.0335355
a0000512,135680000,62512697.4965325
a0000699,30000,41316494.1353411
a0000719,74865000,16555840.8599922
a0000887,121065000,101952347.388626
a0000985,147830000,14502101.0521353
a0001009,80635000,240888789.887313
a0001011,350000,12030862.4655455
a0001019,0,210362649.539355
a0001025,125325000,115913112.910502
a0001036,64170000,24304587.6468374
a0001065,130000,55249546.2877765
a0001103,0,33739354.0678229
a0001131,137530000,29469451.1296207
a0001134,45000,18802427.3954462
a0001139,144715000,225283912.304379
a0001170,20620000,203615595.404363
a0001198,120960000,10580087.9909003
a0001204,150000,57097403.5727247
a0001221,1220000,109749908.17174
a0001235,20430000,192874894.655754
a0001293,25000,26554357.8915981
a0001310,0,186378113.931259
a0001316,49015000,118279196.733712
a0001355,0,219552363.615493
a0001374,103890000,56665542.6169932
a0001453,0,190676380.958995
a0001468,55000,36014333.942295
a0001474,105320000,156243183.095475
a0001508,140230000,120692563.447537
a0001509,0,196305005.399203
a0001565,61850000,81981646.5504502
a0001566,136690000,40294888.7013732
a0001580,1220000,135469318.267196
a0001593,395000,102492425.513449
a0001600,130335000,94620818.7736887
a0001620,88255000,81914198.4247703
a0001627,106675000,66307394.6480286
a0001640,109780000,35027645.4909284
a0001656,98775000,40407081.9718908
a0001685,110025000,133721903.599458
a0001727,2065000,101375697.542367
a0001747,0,186274462.436412
a0001750,61510000,95878894.0363971
a0001862,82395000,12739891.8762276
a0001863,85825000,85940929.1276825
a0001864,68190000,35998768.7262877
a0001865,92675000,27023242.8398576
a0001866,95000,97355162.5683412
a0001876,0,198065940.662947
a0001915,0,31559762.8692094
a0001916,120000,34448072.776164
a0001917,30000,137341323.676509
a0001919,141430000,145941810.573695
a0001920,85985000,162292299.630318
a0001943,725000,128017335.924858
a0001951,520000,133228238.012324
a0001980,99815000,60008884.8060534
a0001981,45505000,28020958.6553869
a0002001,0,217197685.792729
a0002035,0,162639541.672507
a0002044,450000,128645681.065164
a0002047,0,54442133.1442193
a0002048,0,229197146.270944
a0002049,0,34065775.921388
a0002055,0,193433852.275438
a0002059,38790000,168569714.219193
a0002061,25000,86438919.6915285
a0002063,25140000,108939811.229475
a0002064,245000,90634535.2099721
a0002074,140000,213907567.007222
a0002077,137940000,212042093.589471
a0002078,48985000,109707590.692007
a0002083,123575000,27108494.7350331
a0002099,105400000,108046321.566032
a0002101,89715000,88409517.409628
a0002102,98340000,35987101.9294173
a0002131,0,45929070.4939177
a0002135,0,40364635.7898199
a0002150,0,127991348.499733
a0002201,92055000,25074101.0929933
a0002202,84390000,153934278.565125
a0002204,520000,116190042.291389
a0002212,145535000,22541673.5905389
a0002253,180000,69132653.4119401
a0002272,130305000,67506444.0810739
a0002329,70000,15046858.2950632
a0002335,153130000,137748861.427645
a0002368,70000,10844382.9711178
a0002423,137430000,7131352.67801894
a0002449,835000,164255031.216651
a0002491,133290000,5089406.54912218
a0002495,0,46027573.218315
a0002577,92185000,33237007.093795
a0002608,770000,114847465.23839
a0002629,745000,124237898.677998
a0002735,97530000,139557613.414865
a0002744,97435000,50200622.709796
a0002937,10000,48852788.1421061
a0002968,300000,106456199.759295
a0003022,0,155998040.969939
a0003040,1460000,94426871.7565244
a0003043,82095000,89976132.4885084
a0003086,0,236296503.374821
a0003101,0,78663517.0988504
a0003102,75000,15133396.454945
a0003103,156940000,134823904.659001
a0003122,52070000,71351206.3468404
a0003163,190000,79384357.1370647
a0003169,140940000,22578765.9849653
a0003198,113665000,38082206.0799571
a0003199,10000,111641111.104769
a0003200,107075000,9180389.41842881
a0003225,40000,79441680.905915
a0003255,133380000,193410608.415932
a0003266,0,133858148.03864
a0003267,133490000,185023876.532571
a0003270,124510000,29593117.52632
a0003271,100000,45430585.9078489
a0003287,280000,115516872.048374
a0003288,1035000,125015308.084319
a0003309,0,211018490.377946
a0003343,3470000,154389898.478277
a0003352,109885000,41402108.840497
a0003353,0,187684793.932031
a0003360,156855000,18011450.5947707
a0003361,0,31622645.1855983
a0003392,0,63215430.5655954
a0003397,89825000,61117668.1148995
a0003400,130015000,91758379.2398088
a0003401,100770000,223438568.219179
a0003402,370000,100115365.144744
a0003416,270000,32872417.8313509
a0003443,560000,143361622.730358
a0003447,133530000,143468226.763123
a0003483,152100000,124898228.336528
a0003496,102005000,191035121.590777
a0003551,103240000,97094494.7879074
a0003552,96745000,27109521.675294
a0003553,0,60015666.0336058
a0003581,45000,81557412.2832047
a0003635,345000,9980947.13767866
a0003671,92645000,75398610.3304256
a0003674,117935000,134040184.250813
a0003691,1895000,150053012.404803
a0003737,65690000,70736748.0559432
a0003752,0,42414295.1890884
a0003757,156790000,124921107.44599
a0003800,0,173708498.097022
a0003833,30000,24035078.6188685
a0003838,94815000,20057923.3404208
a0003854,115195000,159588605.264719
a0003858,155000,52531054.8758754
a0003873,147570000,107660512.088103
a0003880,0,63954447.9035774
a0003908,25000,141969234.656633
a0003920,144140000,52612546.6525784
a0003940,365000,89847959.3795272
a0003988,83475000,34533813.0331282
a0004015,136280000,79700794.3076263
a0004031,98375000,215046611.52509
a0004034,3490000,86713182.7865556
a0004055,95000,39562669.7424202
a0004116,119650000,95469406.1404402
a0004125,545000,121114500.999458
a0004142,124405000,92467901.0777883
a0004179,65580000,161356458.752042
a0004183,490000,33055685.616822
a0004197,415000,39336814.7306489
a0004205,49575000,118663521.22787
a0004232,255000,44150311.2531838
a0004257,0,86536168.9951954
a0004276,59020000,168141025.284827
a0004341,715000,48777738.5926912
a0004401,0,144642905.678295
a0004435,825000,197656341.546677
a0004440,144325000,89940412.0779485
a0004450,104925000,57701717.942351
a0004451,155400000,64093913.5372244
a0004464,240000,24629724.0141474
a0004483,136420000,84221761.5060438
a0004486,65075000,77757188.9139765
a0004487,0,106119579.767853
a0004490,136445000,216352176.499503
a0004503,102490000,41402956.326489
a0004531,133585000,98695532.8913158
a0004544,45790000,76239389.543664
a0004558,0,5136299.19435163
a0004581,485000,117189274.056442
a0004587,355000,147921431.442077
a0004596,310000,162892153.847874
a0004660,102410000,73168944.1866755
a0004674,115450000,22693599.9242156
a0004688,118845000,117065315.49062
a0004690,39290000,146818451.436933
a0004713,0,228324820.75614
a0004736,74495000,196002332.276282
a0004764,0,114666487.976882
a0004765,0,163338069.68154
a0004769,515000,93692865.5212152
a0004775,30000,25019297.2232914
a0004868,0,199043695.900679
a0004898,127125000,74728756.6190255
a0004910,30000,27116592.0388083
a0004947,136985000,194819598.311175
a0004953,89175000,8800394.75538715
a0004954,54170000,173252392.755605
a0004957,20000,18121471.7976048
a0004995,55490000,175797258.358331
a0005011,0,65471703.8206502
a0005038,2040000,149868613.437617
a0005066,0,187737602.839868
a0005131,130000,59507971.0379962
a0005143,155000,8491244.03572265
a0005175,150295000,210511282.695513
a0005189,110000,44108818.2330995
a0005230,210000,65723456.8778296
a0005246,135000,64471882.6502563
a0005253,153975000,13108806.2918229
a0005261,20000,17594931.7857789
a0005275,0,4248771.19721735
a0005324,120000,25446739.9937497
a0005332,990000,107539855.222282
a0005349,0,194256023.704132
a0005370,74170000,12952484.340534
a0005378,595000,86366723.6127607
a0005384,113210000,7506098.68198785
a0005390,110130000,194089290.129288
a0005392,0,44687212.017602
a0005407,2915000,166844065.614155
a0005426,148955000,57544495.0091962
a0005427,0,175352121.631673
a0005475,67530000,187845864.842575
a0005477,85000,39109953.4902293
a0005496,205000,61788551.2868569
a0005510,0,13793062.8345826
a0005558,225000,218391065.362572
a0005577,685000,32877854.5928719
a0005579,420000,5537141.70913206
a0005585,0,49272462.6811498
a0005587,107120000,107540478.850872
a0005620,280000,115257191.056427
a0005621,420000,130925716.040504
a0005626,25000,196589580.580799
a0005627,0,240583545.968069
a0005639,0,226322790.900521
a0005641,0,179370177.685783
a0005642,133575000,7228344.38058523
a0005645,0,113051238.755413
a0005646,143300000,52063323.5854476
a0005649,71290000,222244280.052531
a0005653,132110000,15900497.2883071
a0005660,105000,77758031.8491738
a0005682,129780000,19768797.101362
a0005693,128215000,62126356.1443547
a0005720,108325000,36882888.9535327
a0005731,2715000,17261294.4270295
a0005732,137650000,11488811.7117488
a0005738,115690000,3928357.3219127
a0005751,0,19749754.5953215
a0005786,23150000,16343060.4295231
a0005797,89570000,86681833.0974824
a0005806,62785000,114475749.160927
a0005817,45860000,215296710.938624
a0005828,151255000,28973020.6666193
a0005836,90000,39186596.3311083
a0005841,70165000,103130463.149338
a0005863,165000,96558110.1622555
a0005867,115000,85642976.9733389
a0005869,340000,98976520.2993308
a0005870,0,153688865.421009
a0005871,95340000,69699813.0713987
a0005879,0,12255775.0383023
a0005892,7230000,137713755.417844
a0005899,123550000,203775993.782686
a0005905,0,38823526.8135634
a0005929,86915000,225000340.35356
a0005967,0,235274076.728808
a0005968,128030000,152321230.579392
a0005999,141650000,6469976.04090074
a0006029,145365000,48365892.8116736
a0006037,185000,122013052.5687
a0006041,415000,129693916.845838
a0006042,90265000,141329717.383797
a0006047,106940000,84483750.2314029
a0006050,5000,121074227.067722
a0006053,73895000,124447267.969408
a0006063,93570000,16303227.8007107
a0006087,0,202300426.904582
a0006107,0,165690420.582067
a0006130,90000,15111681.5352491
a0006141,149080000,215628686.102504
a0006163,128490000,32274950.8351535
a0006170,83900000,79350968.7775141
a0006172,26200000,233302199.450028
a0006178,2660000,115906207.383498
a0006183,143655000,119948601.21455
a0006239,215000,70327436.8487225
a0006249,147120000,77341918.6317395
a0006250,133725000,149938661.395054
a0006261,99020000,72168778.0819143
a0006263,25000,20312573.4992281
a0006271,0,205844097.620726
a0006296,153475000,41219893.5546657
a0006310,695000,103258035.35101
a0006318,53055000,171326765.291984
a0006322,285000,34341731.1642685
a0006382,0,172900611.924804
a0006384,155000,56584727.4274135
a0006386,130075000,165595941.167097
a0006394,0,42611120.7395071
a0006411,0,144123482.016185
a0006435,136760000,114501900.179868
a0006444,92010000,95763492.8225614
a0006446,108150000,214767790.831891
a0006447,65165000,113985551.822733
a0006455,149905000,33312232.4290196
a0006456,200000,80717730.544931
a0006461,0,169929630.381738
a0006485,110735000,118474390.768658
a0006487,1045000,176249417.78151
a0006489,170000,89134489.9526619
a0006490,170000,89014617.1800747
a0006491,105865000,104827739.266324
a0006493,0,171251416.195677
a0006500,345000,114039278.534482
a0006517,0,204317798.842619
a0006523,730000,111258255.613501
a0006564,0,110372907.229007
a0006569,410000,123380088.171415
a0006585,53490000,206922192.939445
a0006602,153190000,218249693.61849
a0006611,10380000,16308546.546816
a0006618,0,192865471.901939
a0006635,260000,65343050.3837637
a0006646,0,178210191.488393
a0006847,136870000,140746129.897543
a0006859,0,189324955.560709
a0006870,129140000,220811503.014271
a0006874,495000,104799795.841378
a0006901,127775000,176608553.497631
a0006909,79510000,65644296.7024861
a0006911,93315000,89483341.560573
a0007002,25000,15578065.8829117
a0007025,98665000,71964792.228337
a0007079,110000,57868270.4652771
a0007086,87270000,102286625.591081
a0007087,350000,52969078.574953
a0007088,98595000,114221360.99348
a0007092,805000,1139574.07455186
a0007096,126035000,219977789.651464
a0007173,0,67246100.8822495
a0007187,51135000,132702739.082806
a0007236,225000,93530933.1809905
a0007247,85030000,139514151.526208
a0007267,113050000,20031899.6916414
a0007304,0,193931047.2268
a0007330,400000,113286870.398604
a0007335,76070000,49317241.6218158
